Block,Epoch,NMI,AMI,ARI
block_16,0,0.37884528569659043,0.0027972060684377975,6.099832123076721e-05
block_0,0,0.5573588741348613,0.0029383628832629375,8.405919594444084e-05
block_1,0,0.33399168053560685,0.0036896792125797975,2.8716643959193757e-05
block_2,0,0.36413744004620646,0.004029497027059343,5.885421746709923e-05
block_3,0,0.3667156663364841,0.007460286568986434,0.00013636827856013177
block_4,0,0.3715042049996973,0.006606717101675012,8.681769114337282e-05
block_5,0,0.49791890141559597,0.02570754425493487,0.0012701794410167216
block_6,0,0.4239091710838443,0.010483428215482562,0.00016563793588348258
block_7,0,0.40523906197177834,0.0062707118766334655,9.13105042706447e-05
block_8,0,0.508170175586085,0.01440077899690875,0.0005797033617654008
block_9,0,0.4376698246271442,0.011273178001128174,0.00021658830484020243
block_10,0,0.5066717747029023,0.015698722306922926,0.0005141558832242102
block_11,0,0.46200696037399447,0.01369560301687858,0.0003057131660299066
block_12,0,0.4920002160497784,0.013814110664733075,0.0004987653510974541
block_13,0,0.436453530206178,0.005891113811673546,9.681819914050027e-05
block_14,0,0.49915222965693035,0.016230154604742995,0.0005980077504951977
block_15,0,0.4534834561763519,0.016429474020935517,0.00046382034138371707
block_16,0,0.37884528569659043,0.0027972060684377975,6.099832123076721e-05
block_0,0,0.5560808770860445,0.00275691545192933,8.028969702094574e-05
block_1,0,0.33399168053560685,0.0036896792125797975,2.8716643959193757e-05
block_2,0,0.36413744004620646,0.004029497027059343,5.885421746709923e-05
block_3,0,0.3667156663364841,0.007460286568986434,0.00013636827856013177
block_4,0,0.3715042049996973,0.006606717101675012,8.681769114337282e-05
block_5,0,0.49791890141559597,0.02570754425493487,0.0012701794410167216
block_6,0,0.4239091710838443,0.010483428215482562,0.00016563793588348258
block_7,0,0.40523906197177834,0.0062707118766334655,9.13105042706447e-05
block_8,0,0.508170175586085,0.01440077899690875,0.0005797033617654008
block_9,0,0.4376698246271442,0.011273178001128174,0.00021658830484020243
block_10,0,0.5066717747029023,0.015698722306922926,0.0005141558832242102
block_11,0,0.46200696037399447,0.01369560301687858,0.0003057131660299066
block_12,0,0.4920002160497784,0.013814110664733075,0.0004987653510974541
block_13,0,0.436453530206178,0.005891113811673546,9.681819914050027e-05
block_14,0,0.49915222965693035,0.016230154604742995,0.0005980077504951977
block_15,0,0.4534834561763519,0.016429474020935517,0.00046382034138371707
block_16,0,0.37884528569659043,0.0027972060684377975,6.099832123076721e-05
block_0,0,0.5568714278933663,0.004666522872438314,0.0001273254359245753
block_1,0,0.33399168053560685,0.0036896792125797975,2.8716643959193757e-05
block_2,0,0.36413744004620646,0.004029497027059343,5.885421746709923e-05
block_3,0,0.3667156663364841,0.007460286568986434,0.00013636827856013177
block_4,0,0.3715042049996973,0.006606717101675012,8.681769114337282e-05
block_5,0,0.49791890141559597,0.02570754425493487,0.0012701794410167216
block_6,0,0.4239091710838443,0.010483428215482562,0.00016563793588348258
block_7,0,0.40523906197177834,0.0062707118766334655,9.13105042706447e-05
block_8,0,0.508170175586085,0.01440077899690875,0.0005797033617654008
block_9,0,0.4376698246271442,0.011273178001128174,0.00021658830484020243
block_10,0,0.5066717747029023,0.015698722306922926,0.0005141558832242102
block_11,0,0.46200696037399447,0.01369560301687858,0.0003057131660299066
block_12,0,0.4920002160497784,0.013814110664733075,0.0004987653510974541
block_13,0,0.436453530206178,0.005891113811673546,9.681819914050027e-05
block_14,0,0.49915222965693035,0.016230154604742995,0.0005980077504951977
block_15,0,0.4534834561763519,0.016429474020935517,0.00046382034138371707
block_16,0,0.37884528569659043,0.0027972060684377975,6.099832123076721e-05
block_0,0,0.5582479378167926,0.0038700223306164425,0.00012868639447793253
block_1,0,0.33399168053560685,0.0036896792125797975,2.8716643959193757e-05
block_2,0,0.36413744004620646,0.004029497027059343,5.885421746709923e-05
block_3,0,0.3667156663364841,0.007460286568986434,0.00013636827856013177
block_4,0,0.3715042049996973,0.006606717101675012,8.681769114337282e-05
block_5,0,0.49791890141559597,0.02570754425493487,0.0012701794410167216
block_6,0,0.4239091710838443,0.010483428215482562,0.00016563793588348258
block_7,0,0.40523906197177834,0.0062707118766334655,9.13105042706447e-05
block_8,0,0.508170175586085,0.01440077899690875,0.0005797033617654008
block_9,0,0.4376698246271442,0.011273178001128174,0.00021658830484020243
block_10,0,0.5066717747029023,0.015698722306922926,0.0005141558832242102
block_11,0,0.46200696037399447,0.01369560301687858,0.0003057131660299066
block_12,0,0.4920002160497784,0.013814110664733075,0.0004987653510974541
block_13,0,0.436453530206178,0.005891113811673546,9.681819914050027e-05
block_14,0,0.49915222965693035,0.016230154604742995,0.0005980077504951977
block_15,0,0.4534834561763519,0.016429474020935517,0.00046382034138371707
block_16,0,0.37884528569659043,0.0027972060684377975,6.099832123076721e-05
block_0,0,0.5582894109651629,0.0020528888455110645,6.271295428902897e-05
block_1,0,0.33399168053560685,0.0036896792125797975,2.8716643959193757e-05
block_2,0,0.36413744004620646,0.004029497027059343,5.885421746709923e-05
block_3,0,0.3667156663364841,0.007460286568986434,0.00013636827856013177
block_4,0,0.3715042049996973,0.006606717101675012,8.681769114337282e-05
block_5,0,0.49791890141559597,0.02570754425493487,0.0012701794410167216
block_6,0,0.4239091710838443,0.010483428215482562,0.00016563793588348258
block_7,0,0.40523906197177834,0.0062707118766334655,9.13105042706447e-05
block_8,0,0.508170175586085,0.01440077899690875,0.0005797033617654008
block_9,0,0.4376698246271442,0.011273178001128174,0.00021658830484020243
block_10,0,0.5066717747029023,0.015698722306922926,0.0005141558832242102
block_11,0,0.46200696037399447,0.01369560301687858,0.0003057131660299066
block_12,0,0.4920002160497784,0.013814110664733075,0.0004987653510974541
block_13,0,0.436453530206178,0.005891113811673546,9.681819914050027e-05
block_14,0,0.49915222965693035,0.016230154604742995,0.0005980077504951977
block_15,0,0.4534834561763519,0.016429474020935517,0.00046382034138371707
block_16,0,0.37884528569659043,0.0027972060684377975,6.099832123076721e-05
